epoch_s,total_backends,active,idle,idle_in_txn,max_connections
1785430887,26,4,22,0,300
1785430888,26,1,25,0,300
1785430889,26,3,23,0,300
1785430890,26,0,26,0,300
1785430891,26,1,25,0,300
1785430893,26,0,26,0,300
1785430894,26,4,22,0,300
1785430895,26,2,24,0,300
1785430896,26,0,26,0,300
1785430897,26,3,23,0,300
1785430898,26,3,23,0,300
1785430899,26,3,23,0,300
1785430900,26,1,25,0,300
1785430901,26,1,25,0,300
1785430902,26,2,24,0,300
1785430903,26,3,23,0,300
1785430904,26,3,23,0,300
1785430906,26,2,23,1,300
1785430907,26,3,23,0,300
1785430908,26,1,25,0,300
1785430909,26,4,22,0,300
1785430910,26,0,26,0,300
1785430911,26,1,25,0,300
1785430912,26,0,26,0,300
1785430913,26,4,22,0,300
1785430914,26,3,23,0,300
1785430915,26,3,23,0,300
1785430916,26,0,26,0,300
1785430917,26,2,24,0,300
1785430919,26,0,26,0,300
1785430920,26,3,23,0,300
1785430921,26,4,22,0,300
1785430922,26,1,25,0,300
1785430923,26,2,24,0,300
1785430924,26,1,25,0,300
1785430925,26,1,25,0,300
1785430926,26,1,25,0,300
1785430927,26,0,26,0,300
1785430928,26,2,24,0,300
1785430929,26,0,26,0,300
1785430930,26,0,26,0,300
1785430932,26,2,24,0,300
1785430933,26,2,24,0,300
1785430934,26,1,25,0,300
1785430935,26,0,26,0,300
1785430936,26,0,26,0,300
