layer,campaign,contract,pair,group,arm,n,mean_cpu_per_req_ms,spread_pct
arm_order,20260810T131208Z-hibernate-vs-jdbc-n3,heavy,1-hibernate-vs-jdbc,repeat01,target-b,2,0.269959,0.6149
arm_order,20260810T131208Z-hibernate-vs-jdbc-n3,heavy,1-hibernate-vs-jdbc,repeat02,target-a,2,1.072775,0.5663
arm_order,20260810T131208Z-hibernate-vs-jdbc-n3,heavy,1-hibernate-vs-jdbc,repeat02,target-b,2,0.268170,0.9979
arm_order,20260810T131208Z-hibernate-vs-jdbc-n3,heavy,1-hibernate-vs-jdbc,repeat03,target-a,2,1.084193,0.5546
arm_order,20260810T131208Z-hibernate-vs-jdbc-n3,heavy,1-hibernate-vs-jdbc,repeat03,target-b,2,0.274333,0.4542
arm_order,20260810T131208Z-hibernate-vs-jdbc-n3,light,1-hibernate-vs-jdbc,repeat01,target-a,2,0.141022,3.5760
arm_order,20260810T131208Z-hibernate-vs-jdbc-n3,light,1-hibernate-vs-jdbc,repeat01,target-b,2,0.120815,1.1406
arm_order,20260810T131208Z-hibernate-vs-jdbc-n3,light,1-hibernate-vs-jdbc,repeat02,target-a,2,0.143197,1.5147
arm_order,20260810T131208Z-hibernate-vs-jdbc-n3,light,1-hibernate-vs-jdbc,repeat02,target-b,2,0.122955,0.6328
arm_order,20260810T131208Z-hibernate-vs-jdbc-n3,light,1-hibernate-vs-jdbc,repeat03,target-a,2,0.141012,2.8111
arm_order,20260810T131208Z-hibernate-vs-jdbc-n3,light,1-hibernate-vs-jdbc,repeat03,target-b,2,0.122148,2.0991
arm_order,20260811T114140Z-security-confound-n3,heavy,1-sec-vs-nosec,repeat01,target-a,2,1.062188,0.0212
arm_order,20260811T114140Z-security-confound-n3,heavy,1-sec-vs-nosec,repeat01,target-b,2,1.022196,0.1027
arm_order,20260811T114140Z-security-confound-n3,heavy,1-sec-vs-nosec,repeat02,target-a,2,1.058823,0.0260
arm_order,20260811T114140Z-security-confound-n3,heavy,1-sec-vs-nosec,repeat02,target-b,2,1.036883,0.0353
arm_order,20260811T114140Z-security-confound-n3,heavy,1-sec-vs-nosec,repeat03,target-a,2,1.058142,0.0298
arm_order,20260811T114140Z-security-confound-n3,heavy,1-sec-vs-nosec,repeat03,target-b,2,1.023956,0.2587
arm_order,20260811T114140Z-security-confound-n3,light,1-sec-vs-nosec,repeat01,target-a,2,0.141839,1.9156
arm_order,20260811T114140Z-security-confound-n3,light,1-sec-vs-nosec,repeat01,target-b,2,0.116308,1.1298
arm_order,20260811T114140Z-security-confound-n3,light,1-sec-vs-nosec,repeat02,target-a,2,0.143236,1.7642
arm_order,20260811T114140Z-security-confound-n3,light,1-sec-vs-nosec,repeat02,target-b,2,0.117413,0.7623
arm_order,20260811T114140Z-security-confound-n3,light,1-sec-vs-nosec,repeat03,target-a,2,0.146730,0.8785
arm_order,20260811T114140Z-security-confound-n3,light,1-sec-vs-nosec,repeat03,target-b,2,0.114938,0.6595
repeat,20260805T140104Z-spring-triad-n3,heavy,1-tomcat-vs-compat,ab,target-a,3,1.097851,0.8407
repeat,20260805T140104Z-spring-triad-n3,heavy,1-tomcat-vs-compat,ab,target-b,3,0.971851,0.5456
repeat,20260805T140104Z-spring-triad-n3,heavy,1-tomcat-vs-compat,ba,target-a,3,1.098006,0.4415
repeat,20260805T140104Z-spring-triad-n3,heavy,1-tomcat-vs-compat,ba,target-b,3,0.971964,1.2910
repeat,20260805T140104Z-spring-triad-n3,heavy,2-tomcat-vs-pure,ab,target-a,3,1.080083,2.3095
repeat,20260805T140104Z-spring-triad-n3,heavy,2-tomcat-vs-pure,ab,target-b,3,0.949358,1.5945
repeat,20260805T140104Z-spring-triad-n3,heavy,2-tomcat-vs-pure,ba,target-a,3,1.081305,2.3062
repeat,20260805T140104Z-spring-triad-n3,heavy,2-tomcat-vs-pure,ba,target-b,3,0.950941,1.5621
repeat,20260805T140104Z-spring-triad-n3,heavy,3-compat-vs-pure,ab,target-a,3,0.996099,0.2246
repeat,20260805T140104Z-spring-triad-n3,heavy,3-compat-vs-pure,ab,target-b,3,0.974140,0.4226
repeat,20260805T140104Z-spring-triad-n3,heavy,3-compat-vs-pure,ba,target-a,3,0.998497,0.3537
repeat,20260805T140104Z-spring-triad-n3,heavy,3-compat-vs-pure,ba,target-b,3,0.973991,0.4283
repeat,20260805T140104Z-spring-triad-n3,light,1-tomcat-vs-compat,ab,target-a,3,0.145944,0.4492
repeat,20260805T140104Z-spring-triad-n3,light,1-tomcat-vs-compat,ab,target-b,3,0.097488,0.1597
repeat,20260805T140104Z-spring-triad-n3,light,1-tomcat-vs-compat,ba,target-a,3,0.149276,0.1743
repeat,20260805T140104Z-spring-triad-n3,light,1-tomcat-vs-compat,ba,target-b,3,0.097568,0.2049
repeat,20260805T140104Z-spring-triad-n3,light,2-tomcat-vs-pure,ab,target-a,3,0.148692,2.9479
repeat,20260805T140104Z-spring-triad-n3,light,2-tomcat-vs-pure,ab,target-b,3,0.089895,1.4727
repeat,20260805T140104Z-spring-triad-n3,light,2-tomcat-vs-pure,ba,target-a,3,0.150184,1.9207
repeat,20260805T140104Z-spring-triad-n3,light,2-tomcat-vs-pure,ba,target-b,3,0.089996,0.7370
repeat,20260805T140104Z-spring-triad-n3,light,3-compat-vs-pure,ab,target-a,3,0.099453,0.1342
repeat,20260805T140104Z-spring-triad-n3,light,3-compat-vs-pure,ab,target-b,3,0.091667,0.8861
repeat,20260805T140104Z-spring-triad-n3,light,3-compat-vs-pure,ba,target-a,3,0.100315,0.4812
repeat,20260805T140104Z-spring-triad-n3,light,3-compat-vs-pure,ba,target-b,3,0.092363,1.5891
repeat,20260806T183034Z-spring-ladder-n3,heavy,1-tomcat-vs-pure,ab,target-a,3,1.077538,1.1710
repeat,20260806T183034Z-spring-ladder-n3,heavy,1-tomcat-vs-pure,ab,target-b,3,0.947231,0.6164
repeat,20260806T183034Z-spring-ladder-n3,heavy,1-tomcat-vs-pure,ba,target-a,3,1.078757,1.2057
repeat,20260806T183034Z-spring-ladder-n3,heavy,1-tomcat-vs-pure,ba,target-b,3,0.949949,0.3728
repeat,20260806T183034Z-spring-ladder-n3,heavy,2-pure-vs-purenative,ab,target-a,3,0.961745,0.9155
repeat,20260806T183034Z-spring-ladder-n3,heavy,2-pure-vs-purenative,ab,target-b,3,0.230929,0.0728
repeat,20260806T183034Z-spring-ladder-n3,heavy,2-pure-vs-purenative,ba,target-a,3,0.964592,1.2293
repeat,20260806T183034Z-spring-ladder-n3,heavy,2-pure-vs-purenative,ba,target-b,3,0.231050,0.1719
repeat,20260806T183034Z-spring-ladder-n3,heavy,3-purenative-vs-native,ab,target-a,3,0.230696,0.7987
repeat,20260806T183034Z-spring-ladder-n3,heavy,3-purenative-vs-native,ab,target-b,3,0.211966,0.6538
repeat,20260806T183034Z-spring-ladder-n3,heavy,3-purenative-vs-native,ba,target-a,3,0.234961,1.6062
repeat,20260806T183034Z-spring-ladder-n3,heavy,3-purenative-vs-native,ba,target-b,3,0.210682,0.0719
repeat,20260806T183034Z-spring-ladder-n3,heavy,4-tomcat-vs-native,ab,target-a,3,1.076124,3.1924
repeat,20260806T183034Z-spring-ladder-n3,heavy,4-tomcat-vs-native,ab,target-b,3,0.210521,0.3989
repeat,20260806T183034Z-spring-ladder-n3,heavy,4-tomcat-vs-native,ba,target-a,3,1.077176,3.4572
repeat,20260806T183034Z-spring-ladder-n3,heavy,4-tomcat-vs-native,ba,target-b,3,0.210220,0.1927
repeat,20260806T183034Z-spring-ladder-n3,light,1-tomcat-vs-pure,ab,target-a,3,0.145900,0.7239
repeat,20260806T183034Z-spring-ladder-n3,light,1-tomcat-vs-pure,ab,target-b,3,0.089847,1.5583
