epoch_ms,cpu_pct,mem_usage_mb,mem_limit_mb,net_in_mb,net_out_mb,block_in_mb,block_out_mb,pids
1777983166132673925,7.97,844.9,62156,8,2.63,3.21,0,012,18.9,139
1777983168160155067,16.09,845.3,62156,8,2.68,3.28,0,012,19.5,139
1777983170188471137,3.54,844.7,62156,8,2.73,3.34,0,012,20.3,139
1777983172216742944,9.29,844.7,62156,8,2.75,3.37,0,012,20.6,139
1777983174244259492,7.84,845.2,62156,8,2.81,3.44,0,012,21.1,139
1777983176271792972,13.52,844.9,62156,8,2.85,3.49,0,012,21.7,139
1777983178301449373,18.20,845.6,62156,8,2.9,3.55,0,012,22.3,139
1777983180328653237,2.18,846,62156,8,2.94,3.6,0,012,22.9,139
1777983182355612976,4.70,845.9,62156,8,3.01,3.69,0,012,23.4,139
1777983184384090948,3.04,845,62156,8,3.04,3.72,0,012,23.9,139
1777983186413100492,4.53,845.6,62156,8,3.11,3.81,0,012,24.4,139
1777983188441908370,7.13,846,62156,8,3.15,3.86,0,012,25.1,139
1777983190469557806,2.72,846.1,62156,8,3.2,3.92,0,012,25.6,139
1777983192496938270,2.84,846.3,62156,8,3.24,3.98,0,012,26.1,139
1777983194525060037,3.16,846.2,62156,8,3.29,4.04,0,012,26.5,139
1777983196555480374,5.32,846.5,62156,8,3.35,4.1,0,012,27.3,139
1777983198584430817,6.19,846.8,62156,8,3.39,4.16,0,012,27.7,139
1777983200612278634,3.41,847.2,62156,8,3.43,4.2,0,012,28.2,139
1777983202645338416,8.36,846.3,62156,8,3.47,4.26,0,012,28.8,139
1777983204674346617,5.87,847.3,62156,8,3.55,4.36,0,012,29.3,139
1777983206703864921,2.79,846.8,62156,8,3.57,4.39,0,012,30.1,139
1777983208735518118,9.51,846.3,62156,8,3.63,4.46,0,012,30.6,139
1777983210765049947,3.99,847.5,62156,8,3.69,4.52,0,012,31.2,139
1777983212793543979,4.48,846.9,62156,8,3.72,4.56,0,012,31.8,139
1777983214822518948,3.12,847.3,62156,8,3.77,4.63,0,012,32.3,139
1777983216850805283,2.75,847.3,62156,8,3.81,4.68,0,012,32.9,139
1777983218880700770,10.26,848.6,62156,8,3.87,4.76,0,012,33.3,139
1777983220908738150,5.61,847.9,62156,8,3.92,4.82,0,012,33.9,139
1777983222938485190,5.99,847.6,62156,8,3.95,4.86,0,012,34.5,139
1777983224968036465,32.51,847.9,62156,8,4.02,4.95,0,012,35,139
1777983226996738615,6.48,847.7,62156,8,4.06,4.99,0,012,35.7,139
177798322924253851,7.41,848.5,62156,8,4.11,5.05,0,012,36.2,139
177798323153477384,5.52,848.3,62156,8,4.14,5.09,0,012,36.9,139
177798323383917949,3.42,847.9,62156,8,4.19,5.15,0,012,37.5,139
1777983235112505505,6.03,848.5,62156,8,4.26,5.24,0,012,38.2,139
1777983237140907996,13.46,848.6,62156,8,4.29,5.28,0,012,39.1,139
1777983239168717330,15.25,848.9,62156,8,4.35,5.36,0,012,39.6,139
1777983241196739852,4.75,848.7,62156,8,4.4,5.42,0,012,40.1,139
1777983243225231099,4.36,849,62156,8,4.44,5.47,0,012,40.7,139
1777983245267607247,3.41,848.1,62156,8,4.5,5.54,0,012,41.2,139
1777983247312327068,24.87,849.7,62156,8,4.54,5.59,0,012,41.7,139
1777983249341292730,7.14,849.4,62156,8,4.58,5.65,0,012,42.2,139
1777983251368631967,12.73,849.1,62156,8,4.63,5.71,0,012,42.9,139
1777983253397813191,7.89,849.3,62156,8,4.68,5.76,0,012,43.6,139
1777983255431193752,2.85,849.3,62156,8,4.72,5.81,0,012,44.2,139
1777983257462439750,3.59,849.3,62156,8,4.78,5.89,0,012,44.9,139
1777983259490925085,6.35,850.4,62156,8,4.84,5.97,0,012,45.4,139
