epoch_ms,component,cpu_pct,mem_mb
1787386748000,exeris-e2e-saga-payment-gateway,0.00,14.52
1787386748000,target-jvm,3.33,
1787386753000,exeris-e2e-saga-postgres,0.00,140.30
1787386753000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386753000,target-jvm,3.33,
1787386758000,exeris-e2e-saga-postgres,0.01,140.40
1787386758000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386758000,target-jvm,3.33,
1787386763000,exeris-e2e-saga-postgres,4.40,140.50
1787386763000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386763000,target-jvm,4.00,
1787386768000,exeris-e2e-saga-postgres,4.43,140.80
1787386768000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386768000,target-jvm,3.00,
1787386773000,exeris-e2e-saga-postgres,0.02,140.30
1787386773000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386773000,target-jvm,3.33,
1787386778000,exeris-e2e-saga-postgres,0.00,140.40
1787386778000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386778000,target-jvm,3.33,
1787386783000,exeris-e2e-saga-postgres,0.00,140.30
1787386783000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386783000,target-jvm,3.33,
1787386788000,exeris-e2e-saga-postgres,4.40,140.40
1787386788000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386788000,target-jvm,3.33,
1787386793000,exeris-e2e-saga-postgres,0.01,140.50
1787386793000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386793000,target-jvm,3.33,
1787386798000,exeris-e2e-saga-postgres,0.00,140.30
1787386798000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386798000,target-jvm,3.33,
1787386803000,exeris-e2e-saga-postgres,4.44,140.70
1787386803000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386803000,target-jvm,3.33,
1787386808000,exeris-e2e-saga-postgres,0.01,140.50
1787386808000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386808000,target-jvm,3.67,
1787386813000,exeris-e2e-saga-postgres,4.38,140.30
1787386813000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386813000,target-jvm,3.33,
1787386818000,exeris-e2e-saga-postgres,0.01,140.30
1787386818000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386818000,target-jvm,3.33,
1787386823000,exeris-e2e-saga-postgres,4.39,140.50
1787386823000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386823000,target-jvm,3.67,
1787386828000,exeris-e2e-saga-postgres,0.00,140.30
1787386828000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386828000,target-jvm,3.33,
1787386833000,exeris-e2e-saga-postgres,0.01,140.50
1787386833000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386833000,target-jvm,3.33,
1787386838000,exeris-e2e-saga-postgres,4.36,140.30
1787386838000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386838000,target-jvm,3.00,
1787386843000,exeris-e2e-saga-postgres,0.01,140.30
1787386843000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386843000,target-jvm,4.00,
1787386848000,exeris-e2e-saga-postgres,4.34,140.30
1787386848000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386848000,target-jvm,3.00,
1787386853000,exeris-e2e-saga-postgres,0.01,140.30
1787386853000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386853000,target-jvm,3.67,
1787386858000,exeris-e2e-saga-postgres,0.00,140.30
1787386858000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386858000,target-jvm,3.00,
1787386863000,exeris-e2e-saga-postgres,4.33,140.30
1787386863000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386863000,target-jvm,4.00,
1787386868000,exeris-e2e-saga-postgres,0.01,140.30
1787386868000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386868000,target-jvm,3.33,
1787386873000,exeris-e2e-saga-postgres,4.37,140.50
1787386873000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386873000,target-jvm,3.00,
1787386878000,exeris-e2e-saga-postgres,0.00,140.30
1787386878000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386878000,target-jvm,3.67,
1787386883000,exeris-e2e-saga-postgres,4.37,140.30
1787386883000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386883000,target-jvm,3.33,
1787386889000,exeris-e2e-saga-postgres,13.06,140.60
1787386889000,exeris-e2e-saga-payment-gateway,0.06,14.52
1787386889000,target-jvm,3.67,
1787386894000,exeris-e2e-saga-postgres,0.00,140.40
1787386894000,exeris-e2e-saga-payment-gateway,7.97,14.52
1787386894000,target-jvm,3.33,
1787386899000,exeris-e2e-saga-postgres,4.38,140.30
1787386899000,exeris-e2e-saga-payment-gateway,7.88,14.53
1787386899000,target-jvm,3.33,
1787386904000,exeris-e2e-saga-postgres,0.00,140.40
1787386904000,exeris-e2e-saga-payment-gateway,7.86,14.53
1787386904000,target-jvm,3.67,
1787386909000,exeris-e2e-saga-postgres,4.58,138.90
1787386909000,exeris-e2e-saga-payment-gateway,7.85,14.53
1787386909000,target-jvm,8.00,
1787386914000,exeris-e2e-saga-postgres,0.00,139.10
1787386914000,exeris-e2e-saga-payment-gateway,7.84,14.53
1787386914000,target-jvm,3.33,
1787386919000,exeris-e2e-saga-postgres,2.52,141.70
1787386919000,exeris-e2e-saga-payment-gateway,7.89,14.53
1787386919000,target-jvm,3.33,
1787386924000,exeris-e2e-saga-postgres,4.38,139.10
1787386924000,exeris-e2e-saga-payment-gateway,7.86,14.53
1787386924000,target-jvm,4.00,
1787386929000,exeris-e2e-saga-postgres,0.01,138.90
1787386929000,exeris-e2e-saga-payment-gateway,7.85,14.61
1787386929000,target-jvm,3.00,
1787386934000,exeris-e2e-saga-postgres,4.37,138.90
1787386934000,exeris-e2e-saga-payment-gateway,7.84,14.53
1787386934000,target-jvm,3.33,
1787386939000,exeris-e2e-saga-postgres,1.84,125.40
1787386939000,exeris-e2e-saga-payment-gateway,7.84,14.61
1787386939000,target-jvm,3.33,
